pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,7,1,2,0,0,1,0,0,1,2,0,1,2,0,72,0,0,0,0,1,1,0,1,2,3,146,0,1,0,0,1,0,0,0,0,51,3,239,0,2,0,1,2,0,27,0,144,689,372,7,0,0,1,0,0,111,59,103,105,454,0,0,0,0,0,19,7,1,47,15,303,43,0,0,0,0,0,0,1,4,0,374,142,0,0,18,0,1,0,0,1,1,309,137,0,0,0,1,2,0,1,0,0,133,389,0,0,0,0,2,0,1,0,60,387,105,0,0,0,1,0,0,0,106,532,770,35,2,0,0,1,0,1,0,112,344,168,0,0,1,0,0,2,0,32,210,71,0,0,0,0,0,1,0,0,94,100,0,0,0,0,0,1,0,0,1,140,445,0,0,1,0,0,0,0,0,0,27,248,1,1,0,0,1,1,1,1,1,0,19,40,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,1,0,0,0,0,52,0,1,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,36,0,0,0,0,0,2,0,0,0,25,162,1,1,2,0,1,0,0,0,1,52,1,335,19,1,0,0,0,1,37,1,38,667,386,35,1,0,0,1,13,112,77,71,120,434,102,0,1,1,2,19,11,10,61,20,508,80,0,2,0,1,1,0,1,7,10,412,182,0,0,18,1,1,2,0,2,0,354,195,0,1,0,1,2,0,0,0,0,192,583,30,0,0,1,2,0,12,2,85,516,317,1,1,0,0,1,0,1,50,552,805,220,0,0,0,0,0,0,0,113,358,196,107,0,0,0,2,1,1,53,218,78,0,0,0,1,0,0,1,2,118,64,0,1,0,1,0,0,0,1,1,172,451,0,0,0,1,1,2,0,0,0,51,268,0,0,0,0,1,0,0,1,0,0,28,64,0,0,0,0,1,1,1,0,0,2,132,0,0,1,0,1,0,1,2,0,1,1,2,1,7,0,1,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
4,57,0,0,97,27,1,0,0,2,0,45,0,0,1,262,410,0,0,41,3,0,18,1,2,27,186,154,2,0,0,27,0,1,0,43,76,0,18,76,102,59,86,0,0,1,0,99,344,124,75,0,0,0,0,0,2,1,82,482,268,111,0,0,15,0,0,0,0,165,346,471,92,0,1,1,0,1,0,0,295,189,354,190,0,2,18,0,0,0,0,53,137,423,131,0,0,2,1,0,1,1,109,247,130,231,0,0,1,0,0,5,0,185,102,201,105,0,0,0,0,1,3,46,204,426,97,334,134,1,0,1,0,0,14,276,115,26,497,141,1,0,0,0,0,35,242,60,27,205,37,0,2,2,0,0,0,88,4,0,178,9,0,0,1,0,9,93,539,8,1,134,67,0,0,0,0,0,0,30,2,0,0,24,0,42,2,2,0,0,1,0,1,12,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1
